43.091,13.466,33.9,2.1
44.902,11.006,7.5,2.1
44.911,11.017,10,2.3
44.847,11.258,10.4,2
44.872,11.401,5.8,2
44.934,10.979,4,2.1
38.206,15.636,56.9,2.1
44.761,11.085,28.7,2.2
44.859,11.097,18.8,2
44.914,10.972,10,2.1
39.865,16.103,2.5,1.7
44.915,10.875,25.3,2.5
44.517,11.128,10,2.1
45.072,11.184,10,2
44.909,11.121,27.9,2.3
44.831,11.189,19.4,2.5
44.752,11.188,9.5,2.2
44.859,11.046,9.2,2.1
44.79,11.091,25.9,2.2
44.898,10.996,6.1,2.3
44.772,11.012,26.2,2.2
44.831,11.379,14.1,2.4
44.89,10.967,10.9,2.5
44.897,11.009,10,2.4
44.895,10.98,10.4,2.3
45.066,11.037,8.1,2
44.9,11.016,7.9,3.2
44.824,10.986,5.3,2.2
44.915,10.767,10.6,2.6
44.852,11.207,10.8,2.2
44.905,11.015,8.9,2.4
44.742,11.224,21.5,2.2
44.84,11.49,20.6,2
44.993,10.896,6.4,2
44.886,11.009,10,2.2
37.123,15.405,10.3,2
44.81,11.47,9,2.3
44.881,11.019,3.2,2.1
44.894,11.142,25.5,2.2
44.87,11.215,6.9,2.1
44.727,11.14,28.9,2
44.797,11.5,14.3,2.1
44.948,10.914,2.3,3.5
44.898,11.209,6.3,2.1
44.911,11.241,10.8,3.2
44.716,11.096,30,2.2
44.822,11.423,7.2,2.4
44.91,10.739,4,2.6
44.937,11.037,11.1,2
44.94,11.022,10.2,2.1
44.937,11.102,4.4,2.2
44.895,11.027,3.5,2
38.473,15.539,131.8,2.1
44.831,11.025,29.1,2
44.924,11.082,10,2.2
44.816,11.052,32.5,2.6
44.822,11.033,6.2,2
44.842,10.878,2.7,2.3
44.81,11.156,17.3,2.1
44.995,11.117,14.2,2.7
44.807,10.925,16.9,2.5
44.903,11.348,1.7,2.3
44.923,11.074,12.4,2.1
41.16,14.89,13.9,2.4
44.707,11.247,22.3,2.5
44.88,11.411,8.8,2.1
44.862,11.057,2.3,2.1
44.76,11.279,22.6,2.7
44.884,10.889,4.3,2.6
44.766,11.089,24.8,2.3
44.79,11.11,20,2.7
44.88,10.99,6.7,3.6
45.016,10.954,2.2,2
44.966,11.054,11,2.3
44.923,11.041,2.5,2.5
38.916,16.503,10.6,2.1
44.932,11.053,5.7,2.3
44.973,10.964,9.5,3.1
44.727,11.161,5.5,2.3
44.856,11.116,9.2,2.4
44.881,10.978,6.1,3.3
44.891,10.963,8,2.7
44.934,10.957,4,2.8
38.526,15.283,123.8,2.3
38.141,15.14,9.6,2.3
44.839,11.038,31,2.4
44.898,11.025,7,2.3
44.901,10.988,5,2.1
44.804,11.169,32,2.1
44.943,10.958,5,2.8
44.922,10.95,16.6,2.2
44.944,11.059,5,2.4
44.864,11.076,8,2.1
44.917,11.004,5,2.3
44.873,11.094,10.6,2.3
44.734,11.102,29.5,2.3
44.856,11.45,19.1,2
44.691,11.169,29.7,2.3
44.895,11.137,5,2.2
44.912,11.086,8.8,2.6
44.904,11.013,10.1,2.1
44.909,11.026,5.1,2.3
44.939,11.087,5,2.7
44.746,11.157,5,2
44.711,11.16,8.3,2
44.854,11.155,5,2.2
